batsman,season,batsman_runs
SE Marsh,2008,616
ML Hayden,2009,572
SR Tendulkar,2010,618
CH Gayle,2011,608
CH Gayle,2012,733
MEK Hussey,2013,733
RV Uthappa,2014,660
DA Warner,2015,562
V Kohli,2016,973
DA Warner,2017,641
KS Williamson,2018,747
DA Warner,2019,727
